,r_mopac_Alpha_LUMO_Energy,r_mopac_Alpha_SOMO_Energy,r_mopac_Dipole_X,r_mopac_Dipole_Y,r_mopac_Dipole_Z,i_desc_Chirality_count,PBF,PMI1,PMI2,FEBc,grupo
25,-2.782,-11.285,-6.50408583054681,-8.68505898149814,12.9901485390689,1,1.51523918476549,5258.45942339878,8012.03695576291,-10.5,0
26,-3.972,-9.605,-2.69283415713689,-34.2982375248134,18.925616940616,1,0.945952378713426,5863.44923358678,6932.80276785363,-8.8,1
27,-4.053,-9.741,-18.6220514091306,24.1653812133585,2.16687678775702,1,1.11654468442815,4799.41557174095,7784.10359974443,-9.5,1
28,-2.921,-11.117,-2.93354746032213,-5.63411264037878,-10.2629241928179,2,0.982762056223458,5328.26741301799,7196.13935007455,-7.9,0
29,-3.962,-9.57,-4.55321622713623,-34.0384738263643,17.6424391197539,2,0.932601955641006,4703.21673210952,8375.1649577358,-11.5,1
30,-4.119,-9.63,7.89401993090173,-36.522520083518,9.79038846838102,1,0.876782909587,5508.68003251765,11802.2244609471,-9.0,1
31,-3.984,-9.475,-4.82593863738155,-32.6488976671243,-25.0960838655213,1,0.880215915289544,5433.71754308933,12105.6753372858,-11.4,1
32,-2.432,-10.839,3.25670599377306,-9.42495310467166,-12.0590039737354,2,0.897723215835703,3722.90633977563,19363.4694520736,-12.2,0
33,-2.86,-11.284,-3.05888251414741,-3.04033472571582,8.14718378904151,2,0.941589569494945,5439.68598658528,11246.3688793426,-9.1,0
36,-3.945,-9.745,-9.12752779228774,-27.9707136139121,21.8072243742962,2,0.854963704073385,5087.64342671153,11979.8063481324,-8.6,1
38,-2.725,-9.936,-1.17438358770612,24.0612018933618,-4.22695562350427,2,0.783601684914933,5729.27026884734,11945.7016296657,-10.6,0
39,-2.709,-11.241,-3.42870427350346,-5.90504558833458,-11.550436700227,1,1.3455034923183,5537.72552922796,8331.62994742215,-8.5,0
40,-2.554,-10.915,-1.12870308435166,-10.3645933642275,-5.80288568682194,1,1.10485111484269,4940.14166524948,7601.47144692338,-4.0,0
41,-4.081,-9.524,1.43388773966649,35.5212618984835,21.2881386665174,0,0.97154556150065,5162.65734250543,8608.13752898169,-9.6,1
42,-3.503,-11.912,-1.65274223449019,0.320504114802328,2.68033460746371,3,0.929093116416335,5923.05576995077,12951.8214864908,-6.2,0
43,-4.026,-9.491,-12.4544414485519,27.9385019914863,22.6762832361316,2,1.00155415554229,4714.72583058743,9063.84945004684,-8.1,1
44,-3.587,-11.7,-2.74361324283585,1.91094121098961,-2.32518185714034,1,0.845390875066448,5722.45108827328,7467.96967344073,-10.2,0
45,-2.806,-11.263,2.25483391884154,-8.25091761253618,-8.51492046922519,4,0.778304961399915,5755.96368335179,13507.0097125713,-11.6,0
46,-3.957,-9.52,12.2082426946598,26.1657168814763,23.7370886774421,1,0.979075405597016,5533.55169736105,7732.18606367489,-8.2,1
47,-2.523,-10.748,-5.03198290520412,9.21102832865773,-0.694627789040603,1,1.40630122885449,5474.46172157106,8850.60890640591,-13.5,0
48,-2.802,-11.192,-2.60257101479682,-6.11901075179782,11.6702022002988,1,1.07191671448843,4831.16636296776,7467.43144712722,-8.9,0
49,-4.13,-9.435,-1.29006470865146,33.4263658862815,29.9877354266147,1,1.15652166492266,3816.89036139836,7930.15311282363,-10.1,1
50,-3.975,-9.668,13.5955797466842,-22.1853951243992,-24.603303184399,1,1.08856949878117,5156.75887126363,7914.24754071121,-8.4,1
51,-4.045,-9.722,0.789270643871357,-26.5368805583612,26.4613219767277,0,0.915132564950219,4938.44059008403,8080.29405212918,-12.2,1
53,-2.915,-11.299,-1.65506297722528,3.68004534337576,10.0346151881086,2,1.46260814121962,3988.62369879079,19127.0587309288,-9.3,0
54,-2.803,-11.137,-4.47025935831455,-10.0884544168394,11.1022527491672,2,1.03201643432615,6020.39629063137,6862.78589570227,-9.7,0
55,-2.392,-10.598,0.286048157050189,-0.5692526831285,-0.854240413806794,2,1.10508900398857,5539.19520836508,6908.76356009798,-9.3,0
56,-4.022,-9.526,-11.5768243914521,-27.488526202675,-20.5054161220173,1,1.06951718195221,5132.16319475499,7738.59218045002,-9.3,1
57,-4.049,-9.644,-3.48815904061606,-35.476477557532,-21.4921489352113,1,1.01379023249946,5080.90756575665,7268.57561913183,-10.2,1
58,-2.645,-10.514,-3.35741421266368,12.2304048263991,3.14213985233409,2,0.918843210628239,5856.2424645788,8056.01436973878,-10.0,0
59,-4.009,-9.518,-19.8883176541943,-26.7606527290333,-22.3853837375187,1,0.914268564109091,5886.39905169201,7707.93020089635,-8.2,1
60,-2.469,-10.88,-3.65712285278423,-6.52475441868835,5.52438784277802,2,0.96515911794683,4998.33091890582,8566.49472378435,-10.4,0
62,-2.253,-10.735,-3.30848206436617,-8.85307627873768,7.20181631933901,2,1.34660081153477,5351.88034001887,7432.12908601557,-11.9,0
