r_mopac_Alpha_LUMO_Energy,r_mopac_Alpha_SOMO_Energy,r_mopac_Beta_LUMO_Energy,r_mopac_Beta_SOMO_Energy,r_mopac_Dipole,r_mopac_Dipole_X,r_mopac_Dipole_Y,r_mopac_Dipole_Z,r_mopac_Ionization_Energy,r_mopac_MOPAC_Heat_of_Formation,r_mopac_MOPAC_Total_Energy_EV,i_desc_Chirality_count,PBF,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,FEBo
-2.598,-10.904,-2.542,-11.197,7.93110437211398,1.71310348002296,-6.61326700808353,4.02894434162258,10.904314202773,-267.627353722986,-7566.9864,0,1.01903541999146,3868.58852748279,20504.6162918038,23286.5548018111,0.166129707052325,0.88053456023512,6.21192594170124,0.0002276113249,0.986103909552492,0.582494207011111,0.097637414746178,-7.1
-2.779,-10.919,-2.789,-10.721,17.2550839153839,2.57965695734847,9.1917026297325,-14.3734440436491,10.7214575228417,-259.659656285599,-7566.5899,2,0.965427737547786,5036.11248597813,7713.76408600951,11717.7736856182,0.429784071709732,0.658296046072045,4.45088606945347,0.000130715119629,0.902931698249986,0.22665899733776,0.165626605454539,-8.3
-2.724,-9.905,-2.724,-9.976,26.2147908692619,-1.10327517197391,-26.1805343231567,-0.760043925086447,9.90540809671236,-247.056819183694,-7566.1412,2,0.950307852337951,5911.69394952784,11652.2044416829,16461.7069742735,0.359117918862648,0.707836949102122,5.24871843647219,0.000119735046358,0.933292194519894,0.28916213819301,0.129962343805573,-8.4
-2.38,-10.214,-2.38,-10.401,19.9126036719006,-13.1525969499453,3.49108334624492,-14.5373077127799,10.214365564482,-261.867102545832,-7566.6688,2,1.40948382866854,5047.34919962712,8413.64443983828,10303.1456864412,0.489884289054495,0.816609285735961,4.38643189346873,0.000161789734262,0.871787464544869,0.150603758149638,0.351153300659771,-8.5
-3.97,-9.514,-3.97,-9.901,37.7327772723074,-4.749523969914,34.3301149932678,-14.9213842283407,9.51358493513208,-227.968806501187,-7565.642,3,0.897647597035143,5569.8305451404,7291.16676876259,12072.2714114133,0.461373867048299,0.603959811727674,4.49303658141303,0.000108434144779,0.887205813103644,0.219099935470795,0.12335144588709,-8.4
-2.724,-9.923,-2.724,-10.128,24.5390230552051,0.29337007779457,23.212040747098,7.954794205786,9.92348479934253,-254.186620987311,-7566.5855,1,1.02078008197391,4360.95580988171,6772.15732640495,9591.16490506679,0.454684686693054,0.706082878715533,4.09628392110977,0.000161910120051,0.890652477505587,0.191460746308254,0.213215347141499,-9.3
-3.821,-9.361,-3.821,-9.365,36.5090319724601,3.96700488332643,29.563350927484,-21.05185430693,9.36053009346264,-225.283739500679,-7565.719,2,1.1421455755332,5528.73695117181,7746.62450335059,11472.7170352607,0.481903016886025,0.675221438787502,4.4763196136836,0.000122129420291,0.876224561580048,0.176772481174917,0.218432417840064,-7.6
-2.787,-11.189,-2.818,-11.184,13.6799926109252,3.22186088213062,-6.14952763895614,11.7874984669725,11.1838035872459,-274.086833508598,-7567.1005,3,1.33096254776405,5195.97480969449,7712.24821853474,10728.6932907713,0.484306398633282,0.7188432001471,4.37467459920597,0.000138346167269,0.874898458246933,0.164815580117828,0.331243883698392,-8.8
-2.657,-11.185,-2.723,-11.263,11.3509450600007,0.334452794116657,-3.98411024830165,-10.6235098066994,11.1853591115612,-268.21342730106,-7566.7257,0,1.13827898247071,5016.79287456082,7665.80686832393,11241.906917734,0.446258175883567,0.681895600490269,4.40120746800832,0.000135922613817,0.894904263291371,0.204610940294972,0.221410376537526,-9.2
-2.624,-10.935,-2.623,-11.083,18.6333135851012,6.06784824478538,9.12468247668771,-15.0705594633576,10.9351622126047,-266.185175918421,-7566.7818,1,1.43069564177151,5396.68864464964,8198.48515768378,10620.5232375269,0.508137737091973,0.771947386614154,4.42791048882578,0.00014304093444,0.861275821176381,0.1398525961607,0.345344460975887,-9.5
